Empid,Name,Designation,Salary,Experience,Vaccinated
1,John Doe,Manager,28000,10,Yes
2,Jane Smith,Supervisor,22000,7,Yes
3,Emily Davis,Clerk,15000,5,No
4,Michael Johnson,Labor,8000,2,Yes
5,Chris Lee,Manager,30000,12,Yes
6,Sarah Wilson,Supervisor,23000,8,No
7,David Brown,Clerk,14000,4,Yes
8,Laura White,Labor,7500,1,No
9,James Green,Manager,29000,11,Yes
10,Amy Taylor,Supervisor,21000,6,Yes
11,Peter Moore,Clerk,16000,5,No
12,Anna King,Labor,9000,2,Yes
13,Tom Harris,Manager,31000,12,Yes
14,Linda Martinez,Supervisor,24000,8,No
15,Robert Clark,Clerk,13000,4,Yes
16,Emily Allen,Labor,8500,1,Yes
17,Daniel Wright,Manager,28000,10,Yes
18,Mary Walker,Supervisor,20000,7,No
19,John Hall,Clerk,17000,6,Yes
20,Elizabeth Young,Labor,7000,1,No
21,Steven King,Manager,29000,11,Yes
22,Patricia Scott,Supervisor,22000,7,Yes
23,Brian Adams,Clerk,15000,4,No
24,Rebecca Baker,Labor,7500,2,Yes
25,Kevin Carter,Manager,30000,12,Yes
26,Angela Perez,Supervisor,21000,6,No
27,Paul Parker,Clerk,14000,5,Yes
28,Nancy Rivera,Labor,8000,2,No
29,Joshua Murphy,Manager,27000,9,Yes
30,Megan Torres,Supervisor,23000,7,Yes
